country,year,population,real_gdp,real_gdp_pc,vsl,le,hle,wtp_s,wtp_h,wtp,wtp_pc
Mexico,2004,106.59270248841493,919.869577686507,8.629761289582497,1.518641572468326,75.26866847504408,65.31318280420084,-0.2570974660676364,0.012203475908205407,-0.24489399015943097,-2.2974742589535846
Mexico,2005,107.92034880090152,941.09839279758,8.72030532938491,1.5345752626793354,75.23486255251481,65.29783100156506,0.7594650220057252,-0.06653459275822192,0.6929304292475033,6.420757873252119
Mexico,2006,109.24088358070588,983.401498615029,9.00213790277981,1.5841713810505231,75.57872632381675,65.53820977410554,0.4920276171554395,-0.149930404069013,0.3420972130864265,3.13158592161779
Mexico,2007,110.55974055963995,1005.93561010939,9.09857064621775,1.6011413490737187,75.81286519777561,65.68037781551445,-0.9752175248291689,-0.18988567616279498,-1.165103200991964,-10.538223001377837
Mexico,2008,111.8636298350038,1017.43933470369,9.095354193354792,1.6005753265767273,75.5068934430398,65.4167192099159,-0.553318258232804,-0.1624189083570608,-0.7157371665898647,-6.3983009280635725
Mexico,2009,113.1429452021992,963.660094723917,8.517191177954116,1.4988317949322278,75.33725128596697,65.26206778453924,0.8014761959248757,-0.07262575287488321,0.7288504430499927,6.441854962741642
Mexico,2010,114.40907526629616,1012.98135687087,8.854029756932096,1.55810771834214,75.6418362364488,65.48117755030499,0.6549590877455503,0.010175690677148175,0.6651347784226984,5.8136540031858885
Mexico,2011,115.67118090470838,1050.0869442974201,9.078207173855146,1.5975578414132008,75.90499308342811,65.68221765565397,0.1974156053916559,0.04477712760311266,0.2421927329947685,2.0938035827116734
Mexico,2012,116.92287658240706,1088.33449922312,9.30813995545229,1.6380207776740483,76.02317497650924,65.78871367553297,-0.9020590196161945,0.046048334169156366,-0.8560106854470382,-7.321156564632783
Mexico,2013,118.14941103274805,1103.07154919152,9.336242470864084,1.6429661807695892,75.77904520796142,65.6319390435262,0.060761888969360016,0.03306731776113007,0.09382920673049008,0.7941572108597561
Mexico,2014,119.34713545448801,1134.5065871828601,9.505938980961083,1.6728289042318467,75.85812268936064,65.70786791368629,0.2142772126625617,-0.012345694734426609,0.20193151792813507,1.6919678646593064
