scenario,reset_value,life_expectancy,healthy_life_expectancy,total_wtp,wtp_0,wtp_20,wtp_40,wtp_60,wtp_80
Wolverine,0.0,78.82715834144273,68.42128919823746,5.880308156985047,42763.50853865888,0.029577165940649068,0.06554380461480659,0.1292257226065532,0.14201089210652498
Wolverine,5.0,83.24682630905698,72.31732214970948,6.7341919928959655,44305.79552787345,0.02900769339067369,0.06429490708061691,0.12902818494540777,0.17032823933297228
Wolverine,10.0,87.78812668975723,76.42478836591658,7.642888088341309,44964.956704394215,0.02803071552863587,0.06214134278229308,0.12651651165999409,0.18846554133090448
Wolverine,15.0,92.41789481377707,80.70519995568924,8.61458915663067,44830.668384311095,0.026765440980101217,0.059346824514351006,0.1223141474724061,0.1977961682303621
Wolverine,20.0,97.11081622526075,85.12489140863038,9.65909996568448,44024.419175276686,0.025312583362817692,0.056134403109117915,0.11692999759620235,0.20041604716350891
Wolverine,25.0,101.84811913321431,89.6553301340411,10.787544501960488,42680.12063431554,0.0237531602718452,0.0526837084308685,0.11077115168265597,0.19824673059545533
Wolverine,30.0,106.61620052764071,94.27292679272756,12.012175323705367,40929.65288015544,0.02214981519702205,0.04913378836802765,0.10415830801029233,0.19278275780929224
Wolverine,35.0,111.40537924550226,98.95855615536495,13.346280232884299,38893.502054239085,0.0205492702873796,0.04558847291045959,0.09734006809947927,0.185114683400263
Wolverine,40.0,116.20886679333157,103.69695005480116,14.80417565932437,36675.760915198836,0.018985104286079954,0.042122480320518976,0.09050533339428374,0.1760257838090769
Wolverine,45.0,121.02197088385577,108.476071314799,16.401271129892244,34362.39546691321,0.01748042372088666,0.038787305651452095,0.0837939830415649,0.16608324660922064
Wolverine,50.0,125.84149237149371,113.28652438179164,18.154187810923045,32021.674145118104,0.016050223101004048,0.03561643452668911,0.07730612064474604,0.15570415469261764
