"Var1","Freq"
"0 to 0",51600
"1 to 4",51600
"10 to 14",54000
"15 to 19",54000
"20 to 24",54000
"25 to 29",54000
"30 to 34",54000
"35 to 39",54000
"40 to 44",54000
"45 to 49",54000
"5 to 9",52800
"50 to 54",52800
"55 to 59",51600
"60 to 64",51600
"65 to 69",51600
"70 to 74",51600
"75 to 79",51600
"80 to 84",51600
"85 to 89",51600
"90 to 94",51600
"95 to 99",51600
