"location_name","year","age_name","population"
"Russian Federation",1990,"0 to 0",1992743.11905435
"Russian Federation",1990,"80 to 84",1808611.35575402
"Russian Federation",1990,"85 to 89",731892.39288471
"Russian Federation",1990,"90 to 94",178647.488117047
"Russian Federation",1990,"95 to 99",37795.3390535334
"Japan",1990,"1 to 4",5407887.06346704
"Japan",1990,"5 to 9",7678162.82031939
"Japan",1990,"10 to 14",8752993.92026735
"Japan",1990,"15 to 19",10284730.1836093
"Japan",1990,"20 to 24",9066528.43673577
"Japan",1990,"25 to 29",8281676.07770596
"Japan",1990,"30 to 34",7986912.07473337
"Japan",1990,"35 to 39",9228916.30604425
"Japan",1990,"40 to 44",10912020.1366389
"Japan",1990,"45 to 49",9199585.85494413
"Japan",1990,"50 to 54",8212649.85884146
"Japan",1990,"55 to 59",7799894.57805116
"Japan",1990,"60 to 64",6796776.13168406
"Japan",1990,"65 to 69",5144537.55924148
"Japan",1990,"70 to 74",3849860.2188831
"Japan",1990,"75 to 79",3037625.56565088
"Japan",1990,"0 to 0",1228049.39626656
"Japan",1990,"80 to 84",1846136.18854264
"Japan",1990,"85 to 89",837881.77227498
"Japan",1990,"90 to 94",263452.395814321
"Japan",1990,"95 to 99",50358.5281754814
"Australia",1990,"1 to 4",1010154.26816984
"Australia",1990,"5 to 9",1270807.23514031
"Australia",1990,"10 to 14",1252661.52408982
"Australia",1990,"15 to 19",1386581.17938248
"Australia",1990,"20 to 24",1330982.59116873
"Australia",1990,"25 to 29",1379664.76669452
"Australia",1990,"30 to 34",1376042.88944387
"Australia",1990,"35 to 39",1299232.10928917
"Australia",1990,"40 to 44",1246784.48264728
"Australia",1990,"45 to 49",967336.999798595
"Australia",1990,"50 to 54",805057.760071815
"Australia",1990,"55 to 59",707286.995209277
"Australia",1990,"60 to 64",717579.856354004
"Australia",1990,"65 to 69",646713.684547575
"Australia",1990,"70 to 74",480145.401300602
"Australia",1990,"75 to 79",370663.125891221
"Australia",1990,"0 to 0",253420.330475065
"Australia",1990,"80 to 84",215518.846160454
"Australia",1990,"85 to 89",101069.099082525
"Australia",1990,"90 to 94",33643.5017262555
"Australia",1990,"95 to 99",8895.67066610858
"New Zealand",1990,"1 to 4",220102.848061934
"New Zealand",1990,"5 to 9",256700.860313624
"New Zealand",1990,"10 to 14",264078.03873846
"New Zealand",1990,"15 to 19",301254.0763079
"New Zealand",1990,"20 to 24",276364.065207054
"New Zealand",1990,"25 to 29",283723.838305359
"New Zealand",1990,"30 to 34",271789.379475195
"New Zealand",1990,"35 to 39",248937.944071268
"New Zealand",1990,"40 to 44",235996.547707448
"New Zealand",1990,"45 to 49",186777.450591768
"New Zealand",1990,"50 to 54",154471.868502442
"New Zealand",1990,"55 to 59",141977.018750361
"New Zealand",1990,"60 to 64",141451.977576184
"New Zealand",1990,"65 to 69",127146.161918554
"New Zealand",1990,"70 to 74",96599.7075370276
"New Zealand",1990,"75 to 79",75447.6106158807
"New Zealand",1990,"0 to 0",59127.4362650167
"New Zealand",1990,"80 to 84",45131.2923097247
"New Zealand",1990,"85 to 89",21310.4486924286
"New Zealand",1990,"90 to 94",7132.4812232739
"New Zealand",1990,"95 to 99",1793.1957014532
