"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18327906064.5098","16183541332.9899","9418820611.43951","8589964511.29035","9053822833.63031","9678536466.07655","10246221416.4922","10586506596.0205","11359321576.2289","11734179188.3105","12426495760.7871","13619439353.7327","15417205348.1442","17575614097.1234","19421053577.114","22120580024.1606","25040496587.2317","28471044620.0698","30435546698.9769","26144134614.2082","26719305575.777","27975112937.4842","29989321069.253","30978968664.5384","32094211536.6445","33121226305.4854","33187468758.0387","35676528915.4363","37531708418.9153","40384118258.2046","37395693507.0975",
"American Samoa","ASM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966678464.210666","987718980.81919","999161460.172933","1051915973.37331","1122149321.88767","1073228241.63905","1144109168.5706","1206710342.88236","1263801318.69785","1310658242.74168","1391964025.79995","1328657453.56947","1342308637.88184","1423874608.69703","1505989864.77679","1603485108.26482","1807258377.52402","1975611420.14299","1975328104.58546","1739025583.76277","1602675635.24333","1571285427.86007","1624282782.9669","1614522851.10782","1675805740.78459","1739910222.13625","1835543677.67486","1893259104.10693","2023584260.56643","2121975706.32825","1693498508.25424",
"Australia","AUS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529298229226.878","527207039795.938","529388519108.709","550741760462.865","572663891212.335","594618854646.106","617537962482.368","641673142433.36","671280015502.87","704418927725.966","731978809208.788","746898738633.038","776883187572.023","801046780422.893","834734377312.501","861114807751.544","884596491005.368","917932399334.278","950766977829.803","968516200684.018","989555637343.978","1013995151022.54","1053717016448.23","1081115891498.42","1108824151458.37","1132910082382.91","1163970433130.57","1190694343959.24","1224878850897.8","1250762371287.89","1250714385056.98",
"Austria","AUT","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287877610666.848","297785286478.443","304019494756.947","305621097436.388","312962480111.461","321312267538.717","328861608034.195","335746652652.378","347771169942.14","360139064725.604","372296358893.85","377013979923.414","383240569094.825","386848667609.275","397429443747.181","406348020084.216","420383450698.257","436052887762.183","442421107373.803","425765818911.111","433587535848.305","446260420568.48","449296979861.322","449411571762.946","452383408466.616","456972845319.882","466064032926.316","476590426691.819","488512789542.233","495797545261.262","462407989786.746",
"Azerbaijan","AZE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54652854606.8022","54270284524.6893","42005200197.3451","32301999241.7856","25938505157.7986","22877761618.7087","23175172397.3595","24519332399.2637","26971265924.9312","28967139491.9371","32182491831.7191","35368558564.968","38706967219.4232","42658290558.3697","46605804015.8275","59637503647.8549","80212442406.3649","100265553007.956","111053101954.314","121377001960.347","127505259506.341","127632764765.847","130396319714.322","137972086329.501","141767018262.97","143317915201","138875059829.769","139152809949.428","141240102098.67","144771104651.137","138545947151.138",
"Burundi","BDI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6444307085.5261","6766318570.79823","6834658278.13972","6408175601.48876","6162742476.19536","5674653271.84973","5220681010.2186","5137672182.32014","5381711610.7284","5327356323.6485","5281708122.04697","5390289853.06244","5629970137.7553","5561074619.02674","5829877934.33885","5882346835.80048","6200805749.0857","6414854617.51195","6726726438.06685","6983199494.26243","7341030040.14927","7637064600.79901","7976662580.3333","8369449021.12303","8724368198.60431","8384117569.63019","8333811187.34308","8375481076.5592","8510320717.21629","8667121391.54336","8692912761.70075",
"Belgium","BEL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353910993696.706","360398445086.651","365914901703.961","362395263927.975","374089655902.479","383010786203.891","388072085801.765","402794212092.751","410696262264.66","425246177251.417","441051214253.456","445901096710.163","453512113792.175","458219490391.071","474583444734.03","485602024421.712","497996287418.469","516307018968.288","518614543398.304","508134675995.647","522689140465.188","531546180596.913","535475461831.324","537934591084.72","546426066893.871","557581131065.091","564643935471.557","573788797293.568","584227184117.895","596785496111.532","563009466877.029",
"Benin","BEN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10829251969.6947","11286874436.5493","11620707543.812","12298912033.5651","12547399307.3432","13305914520.933","13881300057.7825","14677349358.5246","15258720948.2003","16073757802.47","17015312596.6121","17922762308.1962","18754921695.056","19400761822.8883","20260154372.6862","20607244157.9321","21419940047.2018","22702212482.9423","23813843817.0103","24366156424.6825","24881272742.8566","25618692190.0679","26851264681.8907","28782255584.8599","30612139032.0882","31156469106.8687","32196993426.2032","34023063767.8647","36301676624.9392","38794036239.5523","40287138158.1103",
"Burkina Faso","BFA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8965578966.65021","9778755585.63689","9801511802.25928","10140779855.6219","10274131848.1712","10861439635.759","12057799392.1846","12819470652.4471","13756281626.4151","14773591365.2802","15052586780.6907","16048075419.6757","16746642338.0862","18053298083.0785","18861806396.8256","20495592155.5072","21777215286.8077","22672559146.7304","23987565704.7263","24698065613.0907","26784133778.8634","28557929808.7362","30400679457.6706","32161664608.7426","33553250183.4258","34868949890.8718","36946433803.5338","39238401912.359","41829929267.8886","44209263811.574","45062646234.4256",
"Bangladesh","BGD","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156587099092.043","162044516224.857","170864089695.163","178914456746.146","185874455334.185","195393602731.684","204231097539.642","213400862434.587","224448682431.005","234930786867.074","247366365800.347","259925868052.997","269889148727.735","282680726834.717","297491876548.729","316935781802.484","338081436016.661","361945250084.025","383711876467.608","403070619485.479","425528860652.846","453036659482.283","482581258491.401","511601792357.536","542610280674.236","578165578311.579","619293260761.415","664403662063.264","716650728824.611","775076999200.04","802275504293.177",
"Bulgaria","BGR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109045829865.327","99836522227.8061","92576022967.1457","91205699012.3041","92863828833.2709","95515138557.7408","100487075692.946","86302942042.2444","89573065863.25","82052429597.6665","85816359441.6093","89097722721.9669","94329478879.3455","99269659217.59","105732537297.34","113193392577.599","120893474281.759","128862023579.109","136743248089.978","132269208275.422","134308536837.357","137130635536.248","138165876372.402","137391464972.847","138719860500.754","143475253494.68","147836650515.658","151920151543.866","155998563670.261","162297149325.232","155176930208.262",
"Bahrain","BHR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19143294359.5147","21293086082.5424","22717593193.6643","25641348952.8748","25577245199.8358","26582428773.7152","27674968221.8626","28530954929.9429","29897588466.6886","31183184459.9341","32835915082.0051","33653840687.5828","34780756594.7147","36970706753.4516","39551617223.3436","42228865351.1674","44959806124.9449","48688754662.264","51729372637.1175","53043239697.4314","55342292396.8801","56440015074.3357","58544160034.475","61715403401.7232","64400264665.9136","66000855034.9501","68349250016.7145","71282082008.2729","72805167214.6003","74364200162.5682","70582646570.2049",
"Bahamas, The","BHS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9773562236.68066","9364852898.46645","9006592774.50484","9034315633.70943","9318798609.85743","9726845698.79369","10137661986.3046","10834701207.7718","10346749970.142","11608796689.6906","12090472834.2439","12407867042.054","12743459019.786","12582314629.5811","12693383777.0354","13124357169.5305","13454678069.0782","13649331456.3117","13332188252.2246","12775461994.4762","12971997909.6327","13051566089.8429","13454452165.7274","12972261463.5419","13269085916.2472","13480029445.1073","13492316077.3511","13711567829.4446","14090972507.0368","14189955825.2257","12130357325.8382",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6508743804.47533","7862562355.81224","14856914329.7479","19966143884.9722","23080861669.2347","25296624324.0292","28525857175.9899","29217128030.3073","30686002841.0181","31872673161.5591","33888704574.0803","35209407709.811","37115646300.4757","39289556597.0079","41428413672.3539","40183715241.0147","40531573311.4773","40920478316.0848","40584178899.8592","41537848931.9612","42017133855.4576","43315112092.1318","44679454488.3148","46096434289.8595","47820473703.1834","49174272558.2947","47602195585.8312",
"Belarus","BLR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90636010185.6982","89548382078.8226","80951736149.1807","74799402710.5413","66047869678.0612","59178890906.9179","60835902604.4492","67771198789.7528","73463973673.54","75961748163.7156","80367532170.3519","84165143985.127","88411500624.1222","94638492857.1568","105474357168.12","115388948348.906","126927837197.965","137843639493.308","151903689949.072","152207490204.709","164077036415.003","172902260196.085","175819355671.141","177583651637.882","180649428903.241","173731331560.254","169342102526.663","173630155305.786","179098111978.7","181605485546.401","179971036176.035",
"Belize","BLZ","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910570079.93508","1014958165.53308","1137345114.42663","1208722398.02896","1210637274.65298","1218439673.60702","1235852546.56966","1279659235.48949","1327525070.55999","1444066570.46907","1632077934.95529","1708485876.50534","1789338391.35753","1956348291.30366","2050056223.71677","2089845839.83148","2190690941.58835","2201885687.91371","2278727210.4909","2283682548.32353","2352273576.1057","2397396111.35918","2455455366.74575","2487231040.30191","2587657860.43002","2655916714.73585","2655034057.13707","2703187932.80397","2781744459.09559","2830780992.36127","2434173511.30844",
"Bermuda","BMU","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3913226388.83793","3774918015.8216","3772662947.20449","3886166044.31753","3909468015.37137","4081451312.28006","4187588450.80187","4380217554.82478","4551046043.59044","4704991866.95012","5143363318.31215","5514839418.43801","5433341640.0347","5618656986.12881","5749081029.13362","5845332495.22823","6169389918.25616","6375764630.20097","6256795678.60925","5904744699.40928","5756956126.27891","5541487978.00699","5247495465.80897","5232817772.57041","5039147649.75544","5078227736.38443","5044853303.55627","5227044136.51153","5204421421.5194","5228356032.22943","4896664930.00355",
"Bolivia","BOL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31491964099.6354","33150497040.4593","33696318957.3832","35134913778.3846","36774755221.3847","38495178513.3927","40174085309.1978","42164393356.0052","44284989258.7436","44474037261.9355","45589360527.6762","46356994608.3348","47509227770.4984","48797364802.6674","50833822455.3281","53081406754.7481","55627726704.8012","58166789068.0384","61743172462.3164","63815891539.1866","66449395947.1298","69907483850.4261","73488337955.1974","78482613663.6339","82768211466.3353","86788418466.2342","90489007925.7654","94285208488.0407","98267460721.3149","100445761200.531","91576909124.1196",
"Brazil","BRA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567624706702.9","1583805565664.73","1575188522239.29","1652761673948.21","1749495672156.71","1823390758978.2","1863666981953.67","1926935605670.19","1933450534524.93","1942497875909.14","2027733700647.98","2055917098445.27","2118693742854.47","2142864415468.1","2266292648014.92","2338862331519.44","2431527793013.17","2579118383830.37","2710503715141.08","2707093576125.91","2910889693644.53","3026580765445.98","3084726708281.22","3177417275728.11","3193430052481.58","3080198578684.53","2979293832697.14","3018705988834.88","3072549644181.22","3115908020202.83","2989431809530.72",
"Barbados","BRB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3648937305.7672","3506632150.62414","3307016386.92518","3333243275.58636","3400267546.60937","3468748867.00244","3606682874.0353","3777643333.45631","3918491439.22931","3931604883.5599","4106450807.96775","4009314183.29672","4040883586.3148","4128792231.64208","4187074206.4447","4352692151.50881","4609618523.76368","4711126296.5449","4744152748.93305","4503253919.7489","4400289097.59761","4370662427.07295","4350749419.01538","4289553345.47264","4284210831.11573","4389118385.76044","4497911405.39199","4519281462.81962","4493054574.15844","4488735151.30088","3636795227.68332",
"Brunei Darussalam","BRN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18428919884.5686","19008682897.7249","19913226441.082","19973876727.188","20602134525.5171","21524843836.6747","22144397236.8854","21818615159.9052","21696756263.0502","22358975358.8289","22996076889.8896","23627098557.2186","24541962723.8529","25254650394.4204","25382014206.0119","25480371340.6547","26600926645.0082","26642046839.3565","26125267156.9915","25664277532.74","26331283314.8852","27317473701.2105","27566838984.6099","26980760126.4509","26303987537.3725","26200774964.8048","25551541319.6116","25891019749.5614","25904544646.2882","26906819938.6988","27211828479.0468",
